node_id,lat,lon
0,36.1800353,-115.1311582
1,36.2379088,-115.2103622
2,36.2612378,-115.247436
3,36.2587591,-115.2480954
4,36.2606396,-115.2484352
5,36.1708213,-115.1610607
6,36.1869176,-115.292269
7,36.2005416,-115.3346615
8,36.2652606,-115.2570464
9,36.266253,-115.2589293
10,36.265974,-115.2573714
11,36.2655787,-115.2588094
12,36.2637234,-115.2560238
13,36.2642322,-115.2562741
14,36.2646042,-115.2564452
15,36.1895188,-115.3167648
16,36.2741855,-115.2580322
17,36.274003,-115.2577002
18,36.2743989,-115.2585316
19,36.2373749,-115.2250976
20,36.2640402,-115.2498379
21,36.2640418,-115.2496695
22,36.2640486,-115.2495304
23,36.2640451,-115.2493522
24,36.2640431,-115.2491698
25,36.2640456,-115.2490176
26,36.2640538,-115.248834
27,36.2637948,-115.2488472
28,36.2637941,-115.2490087
29,36.2637877,-115.249163
30,36.2637777,-115.2493523
31,36.2637833,-115.2495179
32,36.2637808,-115.2496547
33,36.2637898,-115.2498109
34,36.2636138,-115.2512182
35,36.2639382,-115.2503643
36,36.2640322,-115.250413
37,36.263743,-115.2502813
38,36.2636303,-115.2502877
39,36.2641573,-115.2504746
40,36.2643069,-115.2506212
41,36.2643291,-115.2505412
42,36.2644296,-115.2507191
43,36.2645016,-115.2508218
44,36.26463,-115.2510135
45,36.2647053,-115.2511691
46,36.2647811,-115.2512557
47,36.2639558,-115.2514451
48,36.2613098,-115.2504177
49,36.2625585,-115.2499351
50,36.2628592,-115.2490145
51,36.262804,-115.2485394
52,36.2628683,-115.2480349
53,36.2624008,-115.2474044
54,36.2617704,-115.2476611
55,36.2633794,-115.2494295
56,36.2633852,-115.2492667
57,36.2633935,-115.2491145
58,36.2633956,-115.2489344
59,36.2633997,-115.2487805
60,36.2633944,-115.2485903
61,36.2633966,-115.2484409
62,36.263393,-115.2482665
63,36.2634004,-115.24787
64,36.2633881,-115.2477334
65,36.2634186,-115.2474688
66,36.2635474,-115.2473117
67,36.2634329,-115.2501735
68,36.2633564,-115.2500042
69,36.2633647,-115.2498595
70,36.2644596,-115.248849
71,36.2646965,-115.2488604
72,36.2647065,-115.2489968
73,36.2647044,-115.2491965
74,36.2647077,-115.2493305
75,36.264459,-115.2490113
76,36.2644396,-115.2491778
77,36.2644523,-115.2493524
78,36.2644405,-115.2495109
79,36.2644481,-115.2496701
80,36.2644448,-115.2498666
81,36.2644349,-115.2500032
82,36.2645403,-115.2502046
83,36.2646301,-115.2502624
84,36.2647567,-115.2504354
85,36.2647003,-115.2495363
86,36.2647039,-115.2496722
87,36.2647211,-115.2498669
88,36.2647628,-115.2499974
89,36.2648828,-115.2501371
90,36.264968,-115.2502401
91,36.2650844,-115.2503431
92,36.2648316,-115.250531
93,36.2649264,-115.2506736
94,36.2649527,-115.2513064
95,36.2651184,-115.2512727
96,36.2652241,-115.2512704
97,36.2651192,-115.2507857
98,36.2652286,-115.2507794
99,36.2655017,-115.2507811
100,36.2653927,-115.2507778
101,36.2652255,-115.2503933
102,36.2653591,-115.2503437
103,36.2654538,-115.2502032
104,36.2654393,-115.2499724
105,36.265358,-115.2498488
106,36.2652235,-115.2497915
107,36.1980569,-115.3178663
108,36.170915,-115.1427889
109,36.265029,-115.2467609
110,36.2649307,-115.2467592
111,36.2651251,-115.2467598
112,36.2652183,-115.2467611
113,36.2653103,-115.2467606
114,36.2648332,-115.2467581
115,36.2647404,-115.2467567
116,36.2646463,-115.2467546
117,36.2645441,-115.2467531
118,36.2648332,-115.2467581
119,36.2622102,-115.2478951
120,36.1578942,-115.2949274
121,36.1984525,-115.2481618
122,36.2690081,-115.2573597
123,36.2686062,-115.2569817
124,36.2858568,-115.2852209
125,36.278168,-115.2533418
126,36.2781134,-115.252791
127,36.2779664,-115.2527053
128,36.2780252,-115.2534581
129,36.2778761,-115.2533763
130,36.1452581,-115.2774601
131,36.2687634,-115.2567111
132,36.2669728,-115.2561731
133,36.2697178,-115.258656
134,36.2694813,-115.2577554
135,36.2698904,-115.257972
136,36.2694471,-115.256693
137,36.2691536,-115.2558967
138,36.2695687,-115.2561944
139,36.269659,-115.2557219
140,36.2692257,-115.2549037
141,36.2689614,-115.2549125
142,36.2686772,-115.2544369
143,36.267986,-115.2546152
144,36.2692912,-115.2582514
145,36.2675442,-115.2566736
146,36.2675107,-115.2553434
147,36.2684664,-115.2575029
148,36.2697532,-115.2574393
149,36.2690338,-115.2563315
150,36.2683816,-115.2544513
151,36.2678699,-115.255088
152,36.2678333,-115.2561647
153,36.2679598,-115.2557449
154,36.2690877,-115.2542933
155,36.2698257,-115.2562115
156,36.2695607,-115.257131
157,36.268956,-115.2579457
158,36.26984,-115.2569327
159,36.2696317,-115.2550059
160,36.2683137,-115.2552189
161,36.2672324,-115.2550164
162,36.2680468,-115.2571424
163,36.2687539,-115.2559274
164,36.2686175,-115.2550475
165,36.2681692,-115.2554785
166,36.2697471,-115.25442
167,36.2694862,-115.2544005
168,36.2676483,-115.2546954
169,36.270084,-115.2588183
170,36.2873294,-115.2890091
171,36.2777761,-115.2520806
172,36.2495918,-115.2398757
173,36.2682073,-115.2597371
174,36.275596,-115.2596087
175,36.2571164,-115.2547009
176,36.2572472,-115.2546359
177,36.2573377,-115.2545472
178,36.257413,-115.2544585
179,36.2574996,-115.2543627
180,36.2575919,-115.2542343
181,36.2576653,-115.2541106
182,36.2601637,-115.2562673
183,36.259841,-115.2559438
184,36.2595296,-115.2558655
185,36.2590273,-115.2554739
186,36.2587208,-115.2552519
187,36.2583321,-115.2550064
188,36.2581153,-115.2545156
189,36.2583541,-115.253913
190,36.2583912,-115.2534969
191,36.2584551,-115.2530471
192,36.2585352,-115.2525834
193,36.2585265,-115.2521033
194,36.2562821,-115.2541788
195,36.2564375,-115.2540408
196,36.2561696,-115.2533604
197,36.2562211,-115.2536074
198,36.2562285,-115.2531846
199,36.2563161,-115.2530948
200,36.2562223,-115.2528331
201,36.2561601,-115.2527234
202,36.2560989,-115.2526102
203,36.2560283,-115.2525109
204,36.255969,-115.2523895
205,36.2559643,-115.2522319
206,36.2559144,-115.2521069
207,36.2559064,-115.2518993
208,36.2559659,-115.2516867
209,36.2560242,-115.251578
210,36.2560788,-115.2514637
211,36.2563269,-115.2512709
212,36.256278,-115.2511459
213,36.2563549,-115.2508558
214,36.2564834,-115.2507752
215,36.2566799,-115.2508366
216,36.2567791,-115.2510389
217,36.2567602,-115.2511697
218,36.2570854,-115.2512947
219,36.257186,-115.2512462
220,36.2573498,-115.2512463
221,36.2574708,-115.2514226
222,36.257471,-115.2516231
223,36.2576531,-115.2537336
224,36.2575342,-115.2535717
225,36.2573608,-115.253579
226,36.2575846,-115.2530092
227,36.2575864,-115.2528039
228,36.2575668,-115.2526618
229,36.2575441,-115.2525089
230,36.2574887,-115.2523576
231,36.2573782,-115.2522479
232,36.2573728,-115.2517906
233,36.2584516,-115.2509936
234,36.2583263,-115.2506275
235,36.2581183,-115.2504474
236,36.2577809,-115.2504709
237,36.2577514,-115.2501089
238,36.2574596,-115.2501036
239,36.2570938,-115.2500815
240,36.2906557,-115.2833809
241,36.2945188,-115.2336693
242,36.2939793,-115.2336605
243,36.2939782,-115.233524
244,36.293666,-115.2336877
245,36.270987,-115.2626715
246,36.269334,-115.2661766
247,36.2650955,-115.259242
248,36.2648465,-115.2582385
249,36.2635706,-115.2583844
250,36.2635588,-115.2579801
251,36.2635442,-115.2575233
252,36.2672595,-115.265874
253,36.273881,-115.2606905
254,36.2738855,-115.260564
255,36.273881,-115.260437
256,36.2738895,-115.260293
257,36.273895,-115.2601595
258,36.2738895,-115.260025
259,36.2738885,-115.2598765
260,36.273891,-115.2597265
261,36.273897,-115.2595905
262,36.2738905,-115.259459
263,36.273884,-115.2593115
264,36.2735165,-115.2592955
265,36.2735125,-115.259427
266,36.273508,-115.259565
267,36.2735165,-115.2596845
268,36.2735125,-115.259816
269,36.273506,-115.2599555
270,36.2735015,-115.260072
271,36.2735135,-115.2601995
272,36.2732245,-115.2601995
273,36.2732315,-115.2600705
274,36.2732385,-115.2599525
275,36.2732385,-115.25982
276,36.273241,-115.259683
277,36.2732325,-115.259565
278,36.273257,-115.2594325
279,36.27326,-115.2592955
280,36.2735845,-115.2605955
281,36.2734745,-115.260587
282,36.2733585,-115.260575
283,36.273258,-115.260595
284,36.2731455,-115.260586
285,36.272922,-115.2605805
286,36.272818,-115.260575
287,36.272715,-115.2605925
288,36.2726125,-115.2605735
289,36.272496,-115.2605955
290,36.272389,-115.26059
291,36.2722795,-115.260583
292,36.2721595,-115.2605855
293,36.272582,-115.260205
294,36.2725735,-115.260087
295,36.2725835,-115.259968
296,36.272578,-115.259835
297,36.2728565,-115.260206
298,36.2728495,-115.2600885
299,36.272857,-115.259969
300,36.272844,-115.259832
301,36.2728595,-115.2597005
302,36.272845,-115.259581
303,36.272766,-115.259446
304,36.2727715,-115.259301
305,36.272514,-115.259301
306,36.2725215,-115.2594475
307,36.2725425,-115.259581
308,36.27258,-115.2596995
309,36.272193,-115.260154
310,36.272205,-115.260028
311,36.272192,-115.2599005
312,36.2721855,-115.2597785
313,36.272214,-115.2593945
314,36.2721075,-115.259395
315,36.2719995,-115.2593895
316,36.2718955,-115.259407
317,36.27178,-115.259402
318,36.27194,-115.2605835
319,36.2720515,-115.260591
320,36.271564,-115.259835
321,36.2711805,-115.259922
322,36.273596,-115.2584215
323,36.2735682,-115.2566139
