node_id,lat,lon
0,36.1847133,-115.2124036
1,36.1459974,-115.2048188
2,36.1688239,-115.1571522
3,36.1678322,-115.1561689
4,36.1488568,-115.2856911
5,36.1665954,-115.1505365
6,36.17662,-115.1551271
7,36.1641037,-115.1568074
8,36.1647246,-115.1588841
9,36.1645254,-115.1579954
10,36.1623726,-115.1587373
11,36.1652659,-115.1574418
12,36.1708491,-115.1417763
13,36.1638696,-115.1589934
14,36.164648,-115.1584398
15,36.1630912,-115.1582291
16,36.3020812,-115.2791054
17,36.1687297,-115.1735398
18,36.1698605,-115.1729588
19,36.1696914,-115.1749794
20,36.1701032,-115.1744789
21,36.1697026,-115.1734798
22,36.1692958,-115.1747552
23,36.1693456,-115.173625
24,36.1683492,-115.1733661
25,36.1700689,-115.1753785
26,36.1690722,-115.1735804
27,36.16964,-115.1731195
28,36.1698761,-115.1751139
29,36.1694939,-115.17395
30,36.1693667,-115.1732426
31,36.1700371,-115.1736134
32,36.1698623,-115.1746771
33,36.1697029,-115.1735733
34,36.1696287,-115.1734155
35,36.1698623,-115.1742409
36,36.1697063,-115.173958
37,36.1699963,-115.1740381
38,36.1702839,-115.1730201
39,36.1698726,-115.1755595
40,36.1699857,-115.1744863
41,36.1691722,-115.1737612
42,36.170034,-115.1732158
43,36.169797,-115.1735432
44,36.1700542,-115.1749349
45,36.169624,-115.173671
46,36.2762574,-115.2801846
47,36.1708174,-115.1613704
48,36.1708189,-115.1612111
49,36.1667814,-115.1355243
50,36.1739745,-115.1485909
51,36.167927,-115.1622986
52,36.1652127,-115.1292985
53,36.1606835,-115.1660351
54,36.1597345,-115.1658776
55,36.1612717,-115.168208
56,36.1609217,-115.1683484
57,36.1673714,-115.1383544
58,36.1598087,-115.1680338
59,36.162117,-115.1688857
60,36.1620772,-115.1686946
61,36.1864151,-115.3041075
62,36.2744658,-115.2595162
63,36.158217,-115.1637146
64,36.1578737,-115.1636874
65,36.1579664,-115.1642982
66,36.1580615,-115.1649959
67,36.1585868,-115.1649528
68,36.1593669,-115.1638126
69,36.1598062,-115.1637913
70,36.1600892,-115.1644941
71,36.1591347,-115.1646475
72,36.1610037,-115.1647619
73,36.1615232,-115.1640452
74,36.1614851,-115.1650489
75,36.1611792,-115.1662099
76,36.1613838,-115.1660053
77,36.1606033,-115.170708
78,36.1609985,-115.1704013
79,36.1615986,-115.1702921
80,36.1600526,-115.1697077
81,36.161253,-115.1712141
82,36.1611079,-115.1716507
83,36.1621354,-115.1717837
84,36.1618842,-115.1712644
85,36.161544,-115.1719847
86,36.162044,-115.1722218
87,36.1578211,-115.1659585
88,36.1580329,-115.1662471
89,36.1585528,-115.1664
90,36.1585624,-115.1658068
91,36.1617221,-115.1737078
92,36.1610836,-115.1745674
93,36.1600723,-115.173791
94,36.1597769,-115.1747824
95,36.1593938,-115.174257
96,36.1592407,-115.1748164
97,36.1591879,-115.1753354
98,36.159389,-115.1759026
99,36.159495,-115.1763088
100,36.1593857,-115.1733375
101,36.159514,-115.1712703
102,36.1593554,-115.1706549
103,36.1594848,-115.17197
104,36.1596271,-115.1722848
105,36.1593839,-115.1724866
106,36.1603589,-115.1723853
107,36.160302,-115.1719982
108,36.1600401,-115.1716473
109,36.1591015,-115.1714249
110,36.1584409,-115.1700153
111,36.1575251,-115.1698583
112,36.1576286,-115.1693353
113,36.1583166,-115.1707655
114,36.1585727,-115.1691314
115,36.1585402,-115.1687749
116,36.1586641,-115.1681306
117,36.15838,-115.1711567
118,36.1585528,-115.1720055
119,36.1585257,-115.1724669
120,36.1581801,-115.1724024
121,36.1583474,-115.1714807
122,36.1633036,-115.1665876
123,36.1620493,-115.1657527
124,36.1619188,-115.1694096
125,36.1617925,-115.1706815
126,36.162923,-115.1707047
127,36.1632109,-115.1704879
128,36.1635352,-115.1710284
129,36.1637337,-115.1710127
130,36.1639221,-115.1710073
131,36.1641183,-115.1709811
132,36.1630392,-115.1734886
133,36.1638658,-115.1733618
134,36.16387,-115.1737648
135,36.1648808,-115.1732468
136,36.1647335,-115.1736237
137,36.1652601,-115.1736858
138,36.1657947,-115.1736089
139,36.1656369,-115.1732356
140,36.1608793,-115.1679345
141,36.163148,-115.1626653
142,36.1620346,-115.1647847
143,36.1620996,-115.1652084
144,36.1619886,-115.1643555
145,36.1619741,-115.1641511
146,36.1621291,-115.1641267
147,36.1620128,-115.1639421
148,36.1619743,-115.1637496
149,36.161967,-115.1635298
150,36.162373,-115.1642437
151,36.1646869,-115.1650257
152,36.1614081,-115.1590109
153,36.1635607,-115.1695868
154,36.1634942,-115.1688784
155,36.1636026,-115.1688791
156,36.1637577,-115.1688778
157,36.163989,-115.1689245
158,36.1640601,-115.1686501
159,36.1640357,-115.168222
160,36.1640631,-115.167948
161,36.1641042,-115.1691876
162,36.1640875,-115.1694186
163,36.1641013,-115.1697145
164,36.1645578,-115.1696614
165,36.1645708,-115.169409
166,36.1645471,-115.1691725
167,36.164561,-115.1689561
168,36.1645614,-115.1687089
169,36.1645767,-115.1684604
170,36.1645276,-115.1682384
171,36.1645154,-115.1679761
172,36.1649788,-115.1679615
173,36.1646157,-115.1673267
174,36.1651362,-115.1672669
175,36.165504,-115.1673447
176,36.1654356,-115.1671295
177,36.1652723,-115.165119
178,36.1653999,-115.1639725
179,36.1646424,-115.1636896
180,36.1648731,-115.1629604
181,36.1645725,-115.1625311
182,36.1640704,-115.1629912
183,36.1640693,-115.1627932
184,36.1640681,-115.1626173
185,36.1640673,-115.1624179
186,36.1609053,-115.1623669
187,36.1611013,-115.1624134
188,36.1612837,-115.1623754
189,36.1622944,-115.1627892
190,36.1655016,-115.1617902
191,36.165938,-115.1617812
192,36.1673092,-115.1620683
193,36.1668048,-115.1632142
194,36.1679506,-115.1631266
195,36.1692976,-115.161576
196,36.1691626,-115.1602631
197,36.165939,-115.1647138
198,36.1659252,-115.162632
199,36.1659896,-115.1672972
200,36.1674948,-115.1643811
201,36.1666312,-115.1650156
202,36.16663,-115.1642535
203,36.167827,-115.1648556
204,36.168298,-115.1644815
205,36.1694527,-115.1644064
206,36.1693612,-115.163414
207,36.1693671,-115.1648999
208,36.1671089,-115.165031
209,36.1671032,-115.164257
210,36.1678604,-115.1643791
211,36.1686434,-115.1643044
212,36.1690056,-115.1648926
213,36.1694827,-115.1637738
214,36.1689915,-115.1634196
215,36.1682998,-115.1649508
216,36.167068,-115.1646448
217,36.167183,-115.1638396
218,36.1678221,-115.1638401
219,36.1674687,-115.164929
220,36.1684617,-115.1638319
221,36.16908,-115.1638089
222,36.169057,-115.1644385
223,36.1686267,-115.1648416
224,36.1678467,-115.1657589
225,36.166678,-115.1660063
226,36.16838,-115.1663046
227,36.1683811,-115.1656856
228,36.1687485,-115.1662509
229,36.1703047,-115.1619636
230,36.1704559,-115.1612411
231,36.1700728,-115.1612569
232,36.169967,-115.1603
233,36.1703099,-115.1602386
234,36.1713281,-115.1601199
235,36.1723342,-115.1601481
236,36.1731191,-115.160176
237,36.1729456,-115.158277
238,36.1740051,-115.1592787
239,36.1738549,-115.1603184
240,36.1742953,-115.1603835
241,36.174549,-115.1603872
242,36.16354,-115.3329389
243,36.1639952,-115.1719372
244,36.163437,-115.1717111
245,36.1634339,-115.1721735
246,36.1628698,-115.1719521
247,36.1645513,-115.1707248
248,36.1645432,-115.1702949
249,36.1649103,-115.1702886
250,36.1653989,-115.1702405
251,36.1655866,-115.1702095
252,36.1652961,-115.1709765
253,36.1655441,-115.1713613
254,36.1658004,-115.1717177
255,36.165233,-115.1718039
256,36.1646672,-115.1716665
257,36.1648444,-115.1711338
258,36.1659449,-115.1711555
259,36.1659389,-115.1708688
260,36.1658781,-115.1702255
261,36.1600968,-115.1731188
262,36.1650485,-115.1696558
263,36.1650309,-115.1693978
264,36.1650116,-115.1691549
265,36.1650252,-115.1686983
266,36.165028,-115.168482
267,36.1655934,-115.1696628
268,36.1654794,-115.1692526
269,36.1654966,-115.1688233
270,36.1654348,-115.1685122
271,36.1656349,-115.1685509
272,36.1659836,-115.1696892
273,36.1658707,-115.1694184
274,36.1658854,-115.1692094
275,36.1658953,-115.1689756
276,36.1659043,-115.1687764
277,36.165926,-115.1685545
278,36.1659555,-115.1683125
279,36.265104,-115.2497426
280,36.2618078,-115.2550042
281,36.1655473,-115.1564732
282,36.1654543,-115.1559316
283,36.1657381,-115.1572187
284,36.1661439,-115.1564587
285,36.1651038,-115.1568137
286,36.1592988,-115.1943634
287,36.168003,-115.1826607
288,36.1677311,-115.182563
289,36.1679764,-115.1822861
290,36.167998,-115.1819187
291,36.1674228,-115.1821027
292,36.1677072,-115.182834
293,36.1681177,-115.1829463
294,36.1681061,-115.1830309
295,36.1681188,-115.1831129
296,36.1667402,-115.181568
297,36.1666522,-115.1821111
298,36.166808,-115.1821128
299,36.1669892,-115.1822819
300,36.1671662,-115.1822962
301,36.1673143,-115.182094
302,36.1673165,-115.182659
303,36.1673162,-115.1829708
304,36.1673157,-115.1832555
305,36.1671675,-115.1829802
306,36.1593177,-115.1867688
307,36.1585838,-115.1741108
308,36.1757499,-115.1096814
309,36.1606083,-115.1110217
310,36.1739453,-115.1629194
311,36.1742542,-115.1629172
312,36.1742992,-115.1632186
313,36.1746042,-115.1629956
314,36.1603479,-115.1245465
315,36.1725256,-115.1614884
316,36.1725775,-115.1618543
317,36.1725763,-115.1621955
318,36.1725181,-115.1624962
319,36.1725844,-115.1628699
320,36.1725741,-115.1632306
321,36.1725783,-115.163606
322,36.1724903,-115.1639048
323,36.1722053,-115.1640866
324,36.1719009,-115.1640723
325,36.1718803,-115.164483
326,36.1716004,-115.164132
327,36.1715502,-115.1644785
328,36.1721935,-115.1645242
329,36.172515,-115.1644665
330,36.172842,-115.1645199
331,36.1730853,-115.1643147
332,36.172994,-115.1639278
333,36.1729568,-115.1635581
334,36.1730932,-115.1632258
335,36.1730223,-115.1627899
336,36.1730801,-115.1623127
337,36.1730176,-115.1618737
338,36.1731143,-115.161496
339,36.2498451,-115.2449525
340,36.1689813,-115.1444207
341,36.1640085,-115.1742488
342,36.1640954,-115.174603
343,36.176844,-115.155521
344,36.1765595,-115.156953
345,36.1705405,-115.1744945
346,36.1705165,-115.1748235
347,36.1705585,-115.174101
348,36.170489,-115.1737255
349,36.1707425,-115.1736715
350,36.1709735,-115.173652
351,36.1708325,-115.173096
352,36.1705645,-115.1730505
353,36.170146,-115.1721925
354,36.1703425,-115.172159
355,36.1705205,-115.1721495
356,36.170703,-115.172141
357,36.170872,-115.172169
358,36.171039,-115.1721965
359,36.1699825,-115.1719735
360,36.1700035,-115.1717305
361,36.1700155,-115.171506
362,36.169618,-115.171369
363,36.169602,-115.171739
364,36.1695715,-115.1709925
365,36.1700275,-115.171274
366,36.170027,-115.1710195
367,36.1699985,-115.170811
368,36.169579,-115.1706485
369,36.1700045,-115.170368
370,36.1700135,-115.170584
371,36.1700065,-115.1701405
372,36.169116,-115.1709435
373,36.168847,-115.1709155
374,36.168573,-115.170854
375,36.168295,-115.1708945
376,36.168015,-115.1709175
377,36.1677425,-115.1709105
378,36.167466,-115.1709305
379,36.1674815,-115.171469
380,36.1677555,-115.1714605
381,36.168016,-115.1714705
382,36.1683035,-115.1714645
383,36.1685725,-115.1714615
384,36.1688545,-115.171501
385,36.1691215,-115.171446
386,36.1691105,-115.1721035
387,36.1688225,-115.172037
388,36.1685225,-115.1720465
389,36.1685455,-115.172308
390,36.168251,-115.17211
391,36.1678065,-115.1720585
392,36.16753,-115.1720525
393,36.1672395,-115.172067
394,36.1669595,-115.172062
395,36.1666735,-115.172048
396,36.1666515,-115.171497
397,36.1669225,-115.171503
398,36.166867,-115.1712805
399,36.1666525,-115.1709715
400,36.166924,-115.1709765
401,36.167206,-115.170915
402,36.167167,-115.171138
403,36.1672035,-115.17147
404,36.166643,-115.170344
405,36.166906,-115.170297
406,36.167193,-115.1703155
407,36.167468,-115.170343
408,36.1677435,-115.1703195
409,36.1677575,-115.170086
410,36.1680175,-115.170333
411,36.168281,-115.170317
412,36.1688335,-115.170278
413,36.168565,-115.1702765
414,36.169129,-115.170292
415,36.169993,-115.169673
416,36.169946,-115.1694585
417,36.1699395,-115.1692485
418,36.169936,-115.169039
419,36.169924,-115.168829
420,36.1699335,-115.1686215
421,36.169934,-115.1684135
422,36.169922,-115.168197
423,36.169936,-115.167986
424,36.1699255,-115.167775
425,36.169926,-115.1675645
426,36.1699155,-115.167359
427,36.1699145,-115.1671495
428,36.1699215,-115.1669355
429,36.169924,-115.1667365
430,36.1699215,-115.166536
431,36.1699175,-115.166328
432,36.170353,-115.1665275
433,36.170343,-115.166742
434,36.1706185,-115.1667445
435,36.170635,-115.166526
436,36.1706365,-115.1669535
437,36.1706335,-115.167162
438,36.170619,-115.1673785
439,36.1703525,-115.1673685
440,36.1703625,-115.1671635
441,36.1703355,-115.16695
442,36.170635,-115.167577
443,36.1703435,-115.1675775
444,36.1706375,-115.1677855
445,36.1706445,-115.1680035
446,36.170345,-115.1680005
447,36.1703445,-115.1677885
448,36.171342,-115.1680035
449,36.1710535,-115.168003
450,36.1710555,-115.1677925
451,36.1713405,-115.16779
452,36.17136,-115.1675795
453,36.171072,-115.167583
454,36.1713355,-115.167367
455,36.171057,-115.1673695
456,36.17107,-115.1671635
457,36.1713205,-115.167162
458,36.171334,-115.1669515
459,36.1710515,-115.1669525
460,36.171353,-115.1667405
461,36.171051,-115.1667405
462,36.1713345,-115.1665245
463,36.1456819,-115.2098816
464,36.1795025,-115.1767708
465,36.1703336,-115.1634294
466,36.1702519,-115.163416
467,36.1793944,-115.1546189
468,36.1786892,-115.1581945
469,36.1776287,-115.1613401
470,36.1774085,-115.1612875
471,36.1781102,-115.1640603
472,36.1776339,-115.1640552
473,36.1774114,-115.1631354
474,36.1785862,-115.1640431
475,36.1784916,-115.1646858
476,36.1779879,-115.1656517
477,36.1777516,-115.1657744
478,36.1779753,-115.1659387
479,36.1782161,-115.1657854
