node_id,lat,lon,index
0,39.4707312,-0.3823775,0
1,39.4792716,-0.3942596,0
2,39.4798739,-0.3932396,0
3,39.4815312,-0.394033,0
4,39.4787115,-0.393763,0
5,39.4812033,-0.3947707,0
6,39.4792322,-0.3934357,0
7,39.478173,-0.3952896,0
8,39.4790382,-0.3959786,0
9,39.478471,-0.3929162,0
10,39.4782697,-0.3934032,0
11,39.4794421,-0.3942062,0
12,39.4791144,-0.394364,0
13,39.4789741,-0.3944249,0
14,39.4804102,-0.3944108,0
15,39.480576,-0.3962297,0
16,39.4803206,-0.3960398,0
17,39.4806035,-0.3940386,0
18,39.4785215,-0.3946192,0
19,39.4784035,-0.3946761,0
20,39.4799084,-0.3946081,0
21,39.47829,-0.3954303,0
22,39.478476,-0.3953417,0
23,39.4784337,-0.3955004,0
24,39.4779259,-0.3948859,0
25,39.4777771,-0.395011,0
26,39.4786195,-0.3951296,0
27,39.4785498,-0.3952239,0
28,39.4781979,-0.3950314,0
29,39.4796044,-0.3960625,0
30,39.4814922,-0.3942231,0
31,39.4747324,-0.3946968,0
32,39.4749966,-0.3843032,0
33,39.4752289,-0.3951958,0
34,39.4753881,-0.3948179,0
35,39.4755811,-0.3943794,0
36,39.4757482,-0.3940098,0
37,39.4756053,-0.3935604,0
38,39.4754944,-0.394074,0
39,39.4754263,-0.3936863,0
40,39.4750607,-0.3949067,0
41,39.4676212,-0.3694399,0
42,39.4760293,-0.3916627,0
43,39.4780602,-0.3964402,0
44,39.4781347,-0.3962644,0
45,39.4782086,-0.3960935,0
46,39.4782829,-0.3959232,0
47,39.4778162,-0.396159,0
48,39.4779693,-0.3958175,0
49,39.477937,-0.3962297,0
50,39.4780869,-0.3959023,0
51,39.4764202,-0.3958224,0
52,39.4757401,-0.3953483,0
53,39.4762608,-0.3941889,0
54,39.4769214,-0.3947356,0
55,39.4767372,-0.3946825,0
56,39.4768266,-0.3944776,0
57,39.476361,-0.3944056,0
58,39.4778165,-0.3916255,0
59,39.4767682,-0.3927865,0
60,39.4701251,-0.4063104,1
61,39.4795413,-0.3891945,1
62,39.4764887,-0.3969483,1
63,39.4762714,-0.3974077,1
64,39.4780796,-0.3931345,1
65,39.4776948,-0.3942318,1
66,39.4764804,-0.3966249,1
67,39.4772837,-0.3948147,1
68,39.4773477,-0.3946832,1
69,39.4775266,-0.3946438,1
70,39.4778669,-0.3946014,1
71,39.47766,-0.3943133,1
72,39.4776956,-0.394583,1
73,39.477755,-0.3946224,1
74,39.4852239,-0.3724307,1
75,39.4700081,-0.3898415,1
76,39.4769299,-0.3916257,1
77,39.4768332,-0.3917804,1
78,39.4761512,-0.3933782,1
79,39.4763407,-0.3929891,1
80,39.4789393,-0.3927329,1
81,39.4788218,-0.3930008,1
82,39.4785673,-0.3933189,1
83,39.4786682,-0.393086,1
84,39.4777942,-0.3926432,1
85,39.4778622,-0.3926948,1
86,39.4772221,-0.3941109,1
87,39.4771556,-0.3940604,1
88,39.4769667,-0.394144,1
89,39.4768584,-0.3941315,1
90,39.4767616,-0.3940845,1
91,39.4766647,-0.3939864,1
92,39.4766037,-0.3938528,1
93,39.4765782,-0.3936224,1
94,39.476504,-0.3935661,1
95,39.4763819,-0.3945445,1
96,39.4766289,-0.3947313,1
97,39.47511,-0.3753253,1
98,39.4777552,-0.3976709,1
99,39.4788129,-0.3950706,1
100,39.4788317,-0.3949906,1
101,39.4786438,-0.3943298,1
102,39.4786223,-0.3942498,1
103,39.4788746,-0.3950601,1
104,39.4803245,-0.3934414,1
105,39.4797366,-0.3967455,1
106,39.4792773,-0.3975685,1
107,39.4771574,-0.3972704,1
108,39.4797471,-0.395882,1
109,39.4778739,-0.3975806,1
110,39.4797466,-0.3958334,1
111,39.4783825,-0.392183,1
112,39.4773423,-0.3912731,1
113,39.4766784,-0.3413556,1
114,39.4755877,-0.3925026,1
115,39.4756362,-0.3927054,1
116,39.4943946,-0.4018027,1
117,39.4940655,-0.4024805,1
118,39.4630331,-0.3818733,1
119,39.4776775,-0.3980321,1
120,39.4788356,-0.3922975,1
121,39.4788701,-0.3923128,1
122,39.4778863,-0.3938526,1
123,39.4779539,-0.3938688,1
124,39.4779922,-0.3936329,1
125,39.4780286,-0.3936973,1
126,39.4780346,-0.3939579,1
127,39.4781637,-0.3940383,1
128,39.4781778,-0.3940633,1
129,39.4781894,-0.3940106,1
130,39.4781992,-0.3931691,1
131,39.4782483,-0.3938664,1
132,39.4782627,-0.3938692,1
133,39.4782675,-0.3938432,1
134,39.4782876,-0.3932066,1
135,39.4782874,-0.392971,1
136,39.4783013,-0.3937573,1
137,39.4783165,-0.3937249,1
138,39.4783299,-0.3936969,1
139,39.4783484,-0.3930731,1
140,39.478435,-0.3937545,1
141,39.4784519,-0.3933322,1
142,39.4784681,-0.3933717,1
143,39.4784825,-0.3933288,1
144,39.4784657,-0.3936828,1
145,39.4785127,-0.3931987,1
146,39.4785147,-0.3938118,1
147,39.4785628,-0.3939129,1
148,39.4786017,-0.3942594,1
149,39.4785454,-0.3937402,1
150,39.4787401,-0.3935189,1
151,39.4788063,-0.3925821,1
152,39.4788663,-0.3936159,1
153,39.4789362,-0.3940279,1
154,39.4789394,-0.3938487,1
155,39.4789634,-0.3937964,1
156,39.4790161,-0.3939812,1
157,39.479166,-0.3932968,1
158,39.4787281,-0.3929318,1
159,39.4787144,-0.3956242,1
160,39.4793317,-0.3960793,1
161,39.4790354,-0.3938607,1
162,39.4799312,-0.3964294,1
163,39.4785235,-0.3933319,1
164,39.4802462,-0.3924807,1
165,39.4803064,-0.3925377,1
166,39.4762186,-0.3685472,1
167,39.4762811,-0.3935365,1
