node_id,lat,lon,addr:housenumber,addr:postcode,addr:street,building,building:levels,denomination,historic,landuse,leisure,tourism,sport,area
8597256,60.1587569,24.8693011,1,200,Myllykallionrinne,church,,lutheran,,,,,,5.47E-07
8654676,60.2226938,25.1161005,28,950,Linnavuorentie,retail,,,,,,,,
8654677,60.2231293,25.1148958,47,,It?v?yl?,,,,,,,,,
8654678,60.223877,25.1160785,49,950,It?v?yl?,retail,,,,,,,,
8654683,60.223517,25.1172663,,,,industrial,,,,,,,,
9205072,60.2470504,25.0451225,,,,,1.5,,,,,,,
9205755,60.2067882,24.9668347,1,,Bengalinpolku,apartments,,,,,,,,
9206000,60.2029507,24.9682012,,,,retail,,,,retail,,,,
9500379,60.1931464,25.0304458,14,,Hitsaajankatu,industrial,,,,,,,,
9500467,60.192937,25.0292785,12,,Hitsaajankatu,,,,,,,,,
9500514,60.1927479,25.0283231,10,,Hitsaajankatu,,3,,,,,,,
9500550,60.19261,25.0274155,8,,Hitsaajankatu,,5,,,,,,,
9500593,60.1924565,25.0267471,6,,Hitsaajankatu,,6,,,,,,,
9500667,60.1922628,25.0259256,4,,Hitsaajankatu,,6,,,,,,,
9500800,60.1969488,25.0369255,12,880,Insin??rinkatu,,,,,,,,,
9500817,60.1991522,25.0444642,,,,,,,,,,,,
9500958,60.2060733,25.1457109,9,990,Iiluodontie,apartments,26,,,,,,,
9501046,60.207473,25.145542,45,980,Vuotie,retail,,,,,,,,
9501168,60.2087651,25.1416241,5,,Vuosaarentie,,,,,,sports_centre,,,
9503202,60.1890069,24.9421582,,,,block,,,,,,,,
9647598,60.1990222,24.9360697,12,520,Opastinsilta,commercial,8,,,,,,,
9703597,60.2064479,25.0357344,15,,Siilikuja,school,,,,,,,,
10219363,60.2018215,25.0423734,8,,Mekaanikonkatu,retail,,,,,,,,
10219448,60.2025396,25.0444782,10,880,Mekaanikonkatu,industrial,2,,,,,,,
10219466,60.2030478,25.0433504,10,880,Mekaanikonkatu,,,,,,,,,
10219496,60.2027278,25.0436548,10,880,Mekaanikonkatu,,,,,,,,,
10527525,60.2136254,25.0878802,1,900,Vanhanlinnantie,retail,4,,,,,,,
10528156,60.2235596,25.0200014,49,,Viikintie,veterinary,,,,,,,,
10528392,60.2239488,25.0149798,1,,Hakalantie,retail,,,,,,,,
10528734,60.2337233,25.0323689,23,790,Latokartanonkaari,,2,,,,,,,
10557772,60.2168011,24.8908627,22,320,Isonnevantie,school,4,,,,,,,
10618780,60.2151362,24.9677463,39,610,Koskelantie,hall,2,,,,,,,
10620954,60.2150735,24.971189,10,610,Valtimontie,hall,,,,,,,,
10637166,60.195041,25.0297641,14,810,Hiihtom?entie,apartments,,,,,,,,
10637173,60.1953895,25.0306371,14,810,Hiihtom?entie,apartments,,,,,,,,
10637206,60.1955689,25.0297359,7,800,Hiiht?j?ntie,apartments,,,,,,,,
10637266,60.1949252,25.0309676,,,,train_station,1,,,,,,,
10637295,60.1953445,25.0318495,,,,,,,,,,,,
10637338,60.195994,25.0311319,16,800,Hiihtom?entie,apartments,,,,,,,,
10637389,60.1965375,25.03252,19,800,Hiihtom?entie,apartments,,,,,,,,
10637396,60.1972623,25.0326921,21,800,Hiihtom?entie,apartments,5,,,,,,,
11065361,60.2613273,25.0761774,,,,commercial,,,,,,,,
11070389,60.2348736,25.0712201,13,,Keinutie,school,,,,,,,,
11072954,60.1869714,24.9703697,22,,S?rn?isten rantatie,industrial,2,,,,,,,
11073014,60.1868391,24.9727532,1,,Kaasutehtaankatu,,,,,,,,,
11073021,60.1865616,24.9737174,1,,Kaasutehtaankatu,,,,,,,,,
11073033,60.1862466,24.9736916,1,,Kaasutehtaankatu,,,,,,,,,
11073054,60.1859352,24.973347,1,,Kaasutehtaankatu,,,,,,,,,
11073063,60.1870047,24.973019,1,,Kaasutehtaankatu,industrial,,,,,,,,
11073383,60.187213,24.9731775,1,,Kaasutehtaankatu,industrial,,,,,,,,
11073430,60.1869977,24.9738853,1,,Kaasutehtaankatu,,,,,,,,,
11073447,60.1867039,24.9741384,,,,,,,,,,,,
11073715,60.1850998,24.9687115,,,,industrial,,,,,,,,
11073749,60.1850486,24.9694951,,,,,,,,,,,,
11117323,60.1793922,24.9156474,,,,block,7,,,,,,,
11639676,60.1982344,25.043546,6 A,,Asentajankatu,,,,,,,,,
12118154,60.18876,24.9415448,,,,,,,,,,attraction,,
12118262,60.1889268,24.9389987,,,,,,,,,,attraction,,
12120778,60.195607,24.9694101,,,,block,,,,,,,,
12120790,60.1945551,24.9704928,8,580,Ristikkokatu,block,,,,,,,,
12120956,60.1938868,24.9693372,8,580,Ristikkokatu,block,,,,,,,,
12258387,60.2055171,25.0485788,,,,,,,,,,,,
12258450,60.2049509,25.0471526,,,,retail,,,,,,,,
12258531,60.2045504,25.0463069,,,,,,,,,,,,
12258689,60.203852,25.0480881,15,,Mekaanikonkatu,retail,,,,,,,,
12260386,60.1976731,25.0302043,2,800,M?enlaskijantie,apartments,4.5,,,,,,,
12260471,60.1969615,25.0315696,18,800,Hiihtom?entie,apartments,,,,,,,,
12260538,60.1975314,25.0270351,4,810,M?enlaskijantie,apartments,8,,,,,,,
12260595,60.1973887,25.0274997,4,800,M?enlaskijantie,,,,,,,,,
12260831,60.1996716,25.0284749,6,800,M?yr?tie,apartments,,,,,,,,
12260866,60.1987706,25.0299301,,,,apartments,,,,,,,,
12260962,60.1997153,25.0328938,,,,apartments,,,,,,,,
12261027,60.1995857,25.0336662,,,,apartments,,,,,,,,
12261064,60.1991907,25.0339275,,,,apartments,,,,,,,,
12261124,60.1998864,25.0309145,24,800,Hiihtom?entie,apartments,5,,,,,,,
12607497,60.2275109,25.0083125,3,790,Viikintori,retail,,,,,,,,
12764448,60.1963824,24.9421674,,,,,6,,,,,,,
12867846,60.2352129,24.9778277,15,640,Liukum?entie,hall,,,,,,,,
12966254,60.2439332,24.994606,,,,office,,,,,,,,
12966694,60.2461708,24.9918512,12-14,,Eskolantie,,,,,,,,,
13779794,60.2348493,24.9343698,3A,,Suursuonlaita,clinic,2,,,,,,,
13780142,60.2213775,24.9855322,,,,hall,,,,,,,,
13780197,60.2159827,24.9835785,,,,,2,,,,,,,
13780226,60.2162886,24.9827515,,,,,,,,,,,,
13780254,60.216364,24.9820777,,,,,,,,,,,,
13780270,60.2161195,24.9807637,,,,,,,,,,,,
13780353,60.2163209,24.9847794,9,560,Katariina Saksilaisen katu,retail,1,,,,,,,
13780360,60.2160862,24.9857095,11,560,Katariina Saksilaisen katu,apartments,4,,,,,,,
13780368,60.2156719,24.9861202,11,560,Katariina Saksilaisen katu,apartments,4,,,,,,,
13780917,60.1835221,24.9690895,,,,,,,,,,,,
13858929,60.1895325,24.9092155,4,290,Haartmaninkatu,hospital,8,,,,,,,
13859034,60.1885341,24.9081634,2,290,Heikinniementie,social_facility,4,,,,,,,
13859065,60.1900837,24.9070964,4,290,Haartmaninkatu,,,,,,,,,
14097157,60.2036882,25.0486272,40,,Sahaajankatu,,,,,,,,,
14097242,60.2032077,25.0480009,,,,,,,,,,,,
14097276,60.2033988,25.0474381,13,,Mekaanikonkatu,retail,3,,,,,,,
14097380,60.2012816,25.0443257,5,,Mekaanikonkatu,,,,,,,,,
14097522,60.2018374,25.0449657,,,,,,,,,,,,
14097556,60.2015033,25.0458804,,,,,,,,,,,,
14097607,60.2013486,25.0468227,,,,,,,,,,,,
14097629,60.201738,25.046985,,,,,,,,,,,,
14097711,60.2023627,25.045939,9,,Mekaanikonkatu,,,,,,,,,
14097744,60.2021182,25.0467035,32,880,Sahaajankatu,,,,,,,,,
14097835,60.2027047,25.046777,,,,office,3,,,,,,,
14097883,60.2015126,25.0481168,,,,,,,,,,,,
14097940,60.2020893,25.048172,,,,,,,,,,,,
14097974,60.2024911,25.0483131,,,,,,,,,,,,
14098015,60.2027484,25.0486891,,,,,,,,,,,,
14098041,60.2030048,25.0490474,13-15,880,Sahaajankatu,,2,,,,,,,
14098084,60.2035222,25.049666,19,880,Sahaajankatu,commercial,,,,,,,,
14098109,60.2036978,25.0499213,21,,Sahaajankatu,,,,,,,,,
14098137,60.2038943,25.0501542,,,,,,,,,,,,
14098185,60.2040873,25.0503713,,,,,,,,,,,,
14098205,60.204284,25.0506048,,,,,,,,,,,,
14098236,60.2044679,25.0508512,,,,,,,,,,,,
14098259,60.2046596,25.0510887,,,,,,,,,,,,
14098297,60.2047808,25.0515458,,,,,,,,,,,,
14098376,60.2050693,25.0516135,35,800,Sahaajankatu,,,,,,,,,
14098392,60.2054026,25.0518985,39,800,Sahaajankatu,,,,,,,,,
14098424,60.2055016,25.052374,39,880,Sahaajankatu,,,,,,,,,
14098512,60.2057036,25.0526428,41,800,Sahaajankatu,,,,,,,,,
14098618,60.2058629,25.0529681,43,800,Sahaajankatu,,,,,,,,,
14098635,60.2060173,25.0533618,45,800,Sahaajankatu,,,,,,,,,
14098684,60.2063349,25.0536983,47,800,Sahaajankatu,,,,,,,,,
14098752,60.2067354,25.0538691,,,,,,,,,,,,
14098767,60.2065825,25.0541775,,,,,,,,,,,,
14098813,60.2059971,25.0550678,7,800,Pikkupurontie,,,,,,,,,
14098936,60.2062908,25.0563692,13,800,Pikkupurontie,,,,,,,,,
14098953,60.2060684,25.0555533,9,800,Pikkupurontie,,,,,,,,,
14098967,60.2061834,25.0559179,11,800,Pikkupurontie,,,,,,,,,
14098992,60.2066241,25.0555534,6,800,Pikkupurontie,,,,,,,,,
14098998,60.2067055,25.0560101,8,800,Pikkupurontie,,,,,,,,,
14099028,60.2065588,25.0551105,4,800,Pikkupurontie,,,,,,,,,
14099045,60.2068037,25.0548625,,,,,,,,,,,,
14099059,60.2071305,25.0549282,2,,Pikkupurontie,,,,,,,,,
14099166,60.2065494,25.052217,,,,vehicle_inspection,,,,,,,,
14099216,60.206366,25.0517849,,,,,,,,,,,,
14099259,60.2058154,25.0514706,,,,,,,,,,,,
14099279,60.205968,25.0509468,23,,Mekaanikonkatu,,,,,,,,,
14099322,60.2053974,25.0508272,,,,,,,,,,,,
14099379,60.2055034,25.0503005,21,,Mekaanikonkatu,,,,,,,,,
14099430,60.2050084,25.0496257,,,,,,,,,,,,
14099471,60.2048946,25.050135,,,,,,,,,,,,
14099811,60.2093662,25.053263,4,880,Laippatie,,,,,,,,,
14099843,60.2096933,25.0546464,,,,industrial,,,,,,,,
14290947,60.2277219,25.0298289,2,790,Kev?tkatu,school,3,,,,,,,
14291100,60.2431752,24.9935753,,,,,,,,,,,,
14437199,60.2006544,25.0484551,,,,,,,,,,,,
14437216,60.2000537,25.0482712,,,,,,,,,,,,
14437231,60.1995465,25.0482201,,,,,,,,,,,,
14437312,60.2006621,25.0468912,,,,,,,,,,,,
14437338,60.2000287,25.0468694,,,,,,,,,,,,
14437371,60.1989944,25.0469195,,,,industrial,,,,,,,,
14437385,60.1988709,25.0462142,1,800,Asentajankatu,,,,,,,,,
14437416,60.1997083,25.0453816,4,,Teollisuusneuvoksenkatu,,,,,,,,,
14437430,60.2005056,25.0453434,6,,Teollisuusneuvoksenkatu,,,,,,,,,
14437471,60.2006825,25.0440866,3 A,,Mekaanikonkatu,,,,,,,,,
14437492,60.2004501,25.0431287,3,,Mekaanikonkatu,,,,,,,,,
14437527,60.1999441,25.0422602,,,,,,,,,,,,
14437591,60.2004322,25.0394104,6,,L?mmitt?j?nkatu,,,,,,,,,
14437606,60.1998638,25.0391627,4,,L?mmitt?j?nkatu,,,,,,,,,
14437628,60.19932,25.0383726,2 A,880,L?mmitt?j?nkatu,school,6,,,,,,,
14437654,60.1988975,25.0398634,,,,,,,,,,,,
14437684,60.1999189,25.040506,,,,,,,,,,,,
14437762,60.1992498,25.0353963,02-06,,Susitie,apartments,,,,,,,,
14437778,60.1985407,25.0352172,02-06,,Susitie,apartments,,,,,,,,
14437817,60.1987078,25.0343024,02-06,800,Susitie,,,,,,,,,
14437878,60.1982084,25.0329746,11,800,Karhutie,community_centre,1,,,,,,,
14437989,60.1991498,25.0319679,23,800,Hiihtom?entie,place_of_worship,,lutheran,,,,,,
14438136,60.1986446,25.0310543,,,,apartments,,,,,,,,
14438140,60.1993391,25.0305624,1,800,M?yr?tie,apartments,,,,,,,,
14438163,60.1997339,25.0299457,3,800,M?yr?tie,apartments,,,,,,,,
14438194,60.2003913,25.0290709,6,800,M?yr?tie,apartments,,,,,,,,
14462140,60.1932802,25.0414665,4,880,Abraham Wetterin tie,school,,,,,,,,
14462165,60.1941472,25.0414635,,,,,,,,,,,,
14462178,60.1940659,25.0423229,6,,Sorvaajankatu,,,,,,,,,
14462199,60.1941715,25.0409181,,,,shelter,,,,,,,,
14462215,60.1946166,25.041507,11,880,Puusep?nkatu,,,,,,,,,
14462244,60.1929537,25.0440432,8,,Abraham Wetterin tie,apartments,5,,,,,,,
14462317,60.1945643,25.0438025,,,,,,,,,,,,
14462332,60.1945009,25.0457207,,,,,,,,,,,,
14462428,60.1942498,25.0467268,,,,,,,,,,,,
14462507,60.1952245,25.0440448,,,,,,,,,,,,
14462585,60.1958117,25.0441181,,,,,,,,,,,,
14462614,60.1955751,25.0449753,6,,Sahaajankatu,shelter,,,,,,,,
14462631,60.1961218,25.0459823,6,,Sahaajankatu,shelter,,,,,,,,
14462648,60.1964315,25.0459303,,,,,,,,,,,,
14462699,60.195888,25.0459457,6,,Sahaajankatu,,,,,,,,,
14462766,60.1953219,25.0458407,,,,,,,,,,,,
14462863,60.196325,25.0442235,,,,,,,,,,,,
14462887,60.1970264,25.0442081,,,,,,,,,,,,
14462910,60.1972461,25.0457667,12,880,Sahaajankatu,,,,,,,,,
14462995,60.1971647,25.0468832,,,,,,,,,,,,
14463008,60.1979341,25.0468778,,,,,,,,,,,,
14463058,60.1975145,25.0493555,5,,Sahaajankuja,,,,,,,,,
14463154,60.1946683,25.0363606,,,,apartments,5,,,,,,,
14463200,60.1935061,25.0369721,,,,roof,,,,,,,,
14463220,60.1938008,25.0373793,,,,car_wash,,,,,,,,
14463247,60.1942351,25.0377459,1,880,Laivalahdenkatu,fast_food,,,,,,,,
14463272,60.192824,25.0383643,,,,,,,,,,,,
14463416,60.1944425,25.0386636,,,,,,,,,,,,
14463438,60.1946694,25.0393129,,,,,,,,,,,,
14463530,60.1948261,25.0402348,9,,Puusep?nkatu,office,,,,,,,,
14463563,60.1946792,25.0422437,,,,,,,,,,,,
14463601,60.1957031,25.0420555,,,,industrial,,,,,,,,
14463630,60.1955678,25.0403923,10,880,Kirvesmiehenkatu,industrial,,,,,,,,
14463722,60.1932798,25.0381996,,,,,,,,,,,,
14463902,60.19698,25.0427207,16,,Sorvaajankatu,fire_station,,,,,,,,
14467962,60.1693995,24.9258354,,,,block,6,,,,,,,
14566598,60.2268908,24.9061716,9,,Nuijamiestentie,office,4,,,,,,,
14566939,60.2200593,24.9379468,5,620,Niittyl?ntie,industrial,4,,,,,,,
14567006,60.2197858,24.9382522,4,620,L?kkisep?nkuja,industrial,2,,,,,,,
14567140,60.220903,24.9423077,22,620,L?kkisep?ntie,retail,2,,,,,,,
14567903,60.2161811,24.9581499,8,600,K?pyl?ntie,retail,2,,,,,,,
14568241,60.2159387,24.9696767,39,610,Koskelantie,hall,,,,,,,,
14568298,60.2150893,24.9720696,,,,hall,,,,,,,,
14568317,60.2144615,24.9693842,39,610,Koskelantie,apartments,7,,,,,,,
14569000,60.212593,25.0398872,11a,,Siilitie,apartments,,,,,,,,
14569026,60.2119835,25.0400018,11a,,Siilitie,apartments,,,,,,,,
14569107,60.2094099,25.0390788,7,,Siilitie,apartments,,,,,,,,
14569185,60.2099466,25.0405476,7,,Siilitie,apartments,,,,,,,,
14569379,60.19702,25.0416107,11,,Kirvesmiehenkatu,,,,,,,,,
14569534,60.1931831,25.0331434,,,,,,,,,,,,
14569588,60.1940697,25.0261382,4,,Hiiht?j?ntie,apartments,,,,,,,,
14569603,60.1944102,25.0254718,4,,Hiiht?j?ntie,apartments,,,,,,,,
14569624,60.1948165,25.0258701,4,,Hiiht?j?ntie,apartments,,,,,,,,
14569645,60.1954937,25.0261291,6,,Hiiht?j?ntie,apartments,,,,,,,,
14569672,60.194472,25.0266648,2,,Hiiht?j?ntie,apartments,8,,,,,,,
14569684,60.1949859,25.0264643,4,,Hiiht?j?ntie,,,,,,,,,
14569776,60.1957596,25.0270401,6,,Hiiht?j?ntie,apartments,,,,,,,,
14569802,60.1961576,25.0267234,6,,Hiiht?j?ntie,apartments,,,,,,,,
14569910,60.2002526,25.0297819,5,800,M?yr?tie,apartments,,,,,,,,
14580702,60.1995448,24.9124155,,,,stable,,,,,,,,
14580703,60.1995785,24.9117013,,,,stable,,,,,,,,
14608541,60.2428587,24.993577,2,,Pukinm?enaukio,,,,,,,,,
14608745,60.2405816,25.0011991,2,,Rapakivenkuja,apartments,,,,,,,,
14618880,60.1693525,24.9236797,7,,Lepp?suonkatu,block,7,,,,,,,
14618881,60.1689655,24.9241447,,,,apartments,8,,,,,,,
14797170,60.1666959,24.9248234,10,180,Lapinlahdenkatu,school,,,,,,,,
14797171,60.1671146,24.9240242,,,,,,,,,,,,
14797172,60.1663641,24.9264601,,,,,,,,,,,,
14828592,60.1628476,24.910358,,,,apartments,7,,,,,,,
14829369,60.1618695,24.9040449,1,180,Tallberginkatu,public,5,,,,,,,1.26E-06
14829857,60.1639961,24.9035249,,,,industrial,,,,,,,,7.51E-07
14830846,60.1628361,24.9071702,,,,apartments,7,,,,,,,
14831236,60.1625465,24.9088112,11-13,180,Kellosaarenkatu,parking,1,,,,,,,
14831300,60.1628003,24.9088006,,,,apartments,7,,,,,,,
14834896,60.2293857,25.0260737,3,,Maakaari,community_centre,,,,,,,multi,
14837375,60.2099305,25.0813666,,,,retail,1,,,,,,,
14837940,60.2084086,25.0813792,,,,,,,,retail,,,,
14838341,60.2133754,25.0529885,,,,,,,,,,,,
14838478,60.2135051,25.0584415,8a,,Holkkitie,,,,,,,,,
14838488,60.2130828,25.0586133,8B,,Holkkitie,,,,,,,,,
14838513,60.2126605,25.0586297,10,,Holkkitie,,,,,,,,,
14838558,60.2121652,25.0585636,12a,,Holkkitie,,,,,,,,,
14838588,60.2117334,25.0584361,12B,,Holkkitie,,,,,,,,,
14838713,60.2110409,25.057933,,,,,3,,,,,,,
14838783,60.2114942,25.0557897,1,,Tulppatie,,,,,,,,,
14838869,60.2122306,25.0534498,3,,Tulppatie,,,,,,,,,
14838925,60.2130713,25.051664,,,,,,,,,,,,
14839164,60.2126409,25.0505877,7,,Tulppatie,,,,,,,,,
14839380,60.2106627,25.0463617,2,880,Levytie,warehouse,,,,,,,,
14839432,60.210932,25.0468394,2,880,Levytie,,1,,,,,,,
14839492,60.2102661,25.0473403,14,880,Laippatie,,2,,,,,,,
14840454,60.210454,25.0558781,,,,retail,,,,,,,,
14840549,60.209355,25.0502204,,800,Laippapuisto,,,,,,,,,
15071234,60.170318,24.9221249,9,,Hietaniemenkatu,,,,,,,,,
15090769,60.2300502,25.0332228,3,,Laivuri Petterin katu,childcare,,,,,,,,
15090778,60.2334824,25.0339004,5,790,Agronominkatu,place_of_worship,,lutheran,,,,,,
15216881,60.1726375,24.909577,20,180,Hietaniemenkatu,chapel,1,lutheran,,,,,,
15216885,60.1723475,24.9091138,,,,roof,,,,,,,,
15218363,60.1642934,24.9230632,,,,commercial,7,,,,,,,
15219087,60.1677536,24.9268425,,,,,7,,,,,,,
15219212,60.1658605,24.923941,,,,detached,,,,,,,,
15219213,60.1656308,24.9238268,,,,detached,,,,,,,,
15219214,60.1651278,24.9237726,,,,detached,,,,,,,,
