0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
@type,@id,@lat,@lon,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,building,building:levels,buliding:use,denomination,historic,landuse,leisure,tourism,amenity,sport,area
way,47515590,28.5173696,-81.4823966,,,,,,yes,,,,,,,,,,9.015798241307493e-08
way,47515657,28.5170670,-81.4814550,Orlando,,6965,32835,Piazza Grande Avenue,yes,2,,,,,,,,,2.327815309399739e-07
way,47515686,28.5167115,-81.4823051,Orlando,,7065,32835,Westpointe Boulevard,yes,,,,,,,,,,1.5552518561889883e-07
way,47515705,28.5163283,-81.4818962,Orlando,,6996,32835,Piazza Grande Avenue,yes,,,,,,,,,,2.2930976228963118e-07
way,47569296,28.5165090,-81.4624760,,,,,,retail,,,,,,,,,,4.107405402464792e-07
way,47569297,28.5152171,-81.4628297,,,,,,retail,,,,,,,,,,2.015870677496423e-06
way,47641603,28.5182785,-81.4755081,,,,,,yes,,,,,,,,,,1.1450788406364154e-07
way,47642820,28.5091890,-81.4736642,,,,,,yes,,,,,,,,,,9.313907867181115e-09
way,47888192,28.4544693,-81.4764431,Orlando,,7603,,Turkey Lake Road,yes,,,,,,,,,,9.079019491764484e-07
way,47888193,28.4550937,-81.4754433,,,,,,yes,,,,,,,,,,1.7831143850344233e-07
way,47888194,28.4561111,-81.4758537,,,,,,yes,,,,,,,,,,1.8258901945955586e-07
way,47888195,28.4560709,-81.4752197,,,,,,yes,,,,,,,,,,2.5840699890977703e-07
way,47888196,28.4571567,-81.4751123,,,,,,yes,,,,,,,,,,4.126495696255006e-07
way,47907947,28.4616047,-81.4804697,,,,,,school,,,,,,,,,,1.6637204680591822e-07
way,48962565,28.4811642,-81.4567066,Orlando,US,5618,32819-7827,Vineland Road,yes,,,,,,,hotel,,,1.0508119885344058e-07
way,49840739,28.5489216,-81.3836199,Orlando,,355,,Alexander Place,parking,,,,,,,,parking,,
way,49841136,28.5489272,-81.3848082,Orlando,,441,,Revere Avenue,parking,,,,,,,,parking,,
way,50737338,28.5490280,-81.3816411,Orlando,,455,,Garland Avenue,yes,,,,,,,,,,
way,61375248,28.5006405,-81.4295142,,,,,,yes,,,,,,,,,,1.476612396800192e-07
