0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
@type,@id,@lat,@lon,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,building,building:levels,buliding:use,denomination,historic,landuse,leisure,tourism,amenity,sport,area
way,123603306,40.1382751,-3.6534579,,,,,,industrial,,,,,,,,,,2.2515752533536215e-06
way,123603307,40.1288126,-3.6554607,,,,,,industrial,,,,,,,,,,2.4876240445337316e-07
way,123603308,40.1321961,-3.6550836,,,,,,industrial,,,,,,,,,,3.8798731338829384e-07
way,123759960,40.1364557,-3.6526228,,,,,,yes,,,,,,,,,,9.109889731462317e-08
way,123759965,40.1283091,-3.6580430,,,,,,industrial,,,,,,,,,,8.090124481441308e-08
way,123759967,40.1429000,-3.6567108,,,,,,industrial,,,,,,,,,,4.054307680689817e-07
way,123759969,40.1449604,-3.6573967,,,,,,industrial,,,,,,,,,,5.02656234857568e-07
way,123759970,40.1444902,-3.6576633,,,,,,industrial,,,,,,,,,,2.2435612834215135e-07
way,123759971,40.1440585,-3.6573790,,,,,,industrial,,,,,,,,,,2.7037208383262623e-07
way,123759973,40.1453961,-3.6576848,,,,,,industrial,,,,,,,,,,2.470042659297178e-07
way,123759974,40.1433581,-3.6564996,,,,,,industrial,,,,,,,,,,7.250192197716387e-07
way,123759976,40.1436533,-3.6570370,,,,,,industrial,,,,,,,,,,4.383963556620074e-07
way,127052936,40.2341431,-3.5963939,,,,,,yes,,,,,,,,,,
way,127052938,40.2337460,-3.5962660,,,,,,yes,,,,,,,,,,
way,127071978,40.2319215,-3.5940893,,,,,,roof,1,,,,,,,,,
way,127072054,40.2332169,-3.5891192,,,,,,yes,,,,,,,,,,
way,128022196,36.1563098,-115.2427489,,,,,,yes,,,,,,,,,,6.497903086710721e-07
way,128575933,36.1800418,-115.2512943,,,,,,yes,,,,,,,,,,4.977346179657616e-08
way,128575934,36.1798721,-115.2519458,,,,,,yes,,,,,,,,,,4.9773916543927044e-08
