id,lon,lat
0,-84.324075,33.728031
1,-84.3245596,33.7271722
2,-84.3492193,33.7623362
3,-84.3490934,33.7620909
4,-84.3489307,33.7604903
5,-84.3488601,33.7602763
6,-84.3491721,33.761836
7,-84.3386598,33.7452729
8,-84.3346517,33.7440899
9,-84.3338871,33.7453906
10,-84.3387487,33.7455423
11,-84.329592,33.741247
12,-84.3276743,33.7398262
13,-84.3385301,33.7648651
14,-84.335863,33.767579
15,-84.323309,33.727594
16,-84.323388,33.7264536
17,-84.3310142,33.7422551
18,-84.3295914,33.740322
19,-84.3136745,33.7395611
20,-84.3487672,33.7442268
21,-84.3456079,33.7456604
22,-84.306113,33.747225
23,-84.3066393,33.7473868
24,-84.2975596,33.7526716
25,-84.3325482,33.772621
26,-84.332333,33.772845
27,-84.332278,33.773177
28,-84.331695,33.773496
29,-84.290486,33.7388742
30,-84.325217,33.749435
31,-84.3396787,33.7534131
32,-84.339611,33.750675
33,-84.3396026,33.7499777
34,-84.345525,33.762905
35,-84.344327,33.763057
36,-84.343242,33.763207
37,-84.3417854,33.7634531
38,-84.3395023,33.7638448
39,-84.337088,33.763917
40,-84.3304293,33.7616737
41,-84.3480443,33.804555
42,-84.346876,33.803226
43,-84.346717,33.802783
44,-84.33213,33.737233
45,-84.331246,33.737373
46,-84.3299626,33.7375495
47,-84.3333729,33.7318158
48,-84.3321516,33.7322682
49,-84.321482,33.759366
50,-84.320177,33.759442
51,-84.318911,33.759474
52,-84.3391659,33.8005445
53,-84.3388248,33.8009764
54,-84.3383404,33.8011621
55,-84.34816,33.752417
56,-84.3464073,33.7519359
57,-84.3453953,33.7516311
58,-84.3445661,33.7515663
59,-84.3435214,33.7515285
60,-84.3421901,33.7515037
61,-84.3024728,33.7525945
62,-84.3013958,33.7525974
63,-84.2986549,33.7525969
64,-84.2970392,33.7526627
65,-84.3451675,33.7565085
66,-84.3267863,33.7602309
67,-84.32707,33.761679
68,-84.327239,33.762547
69,-84.327282,33.7632782
70,-84.3438751,33.7727163
71,-84.3417974,33.7728131
72,-84.3416428,33.7728269
73,-84.3371723,33.7737724
74,-84.3371289,33.7739057
75,-84.30821,33.750037
76,-84.313537,33.761197
77,-84.3134353,33.7639447
78,-84.3194963,33.7511319
79,-84.319533,33.749713
80,-84.3195557,33.7494091
81,-84.319589,33.747328
82,-84.3365244,33.7307526
83,-84.335639,33.73071
84,-84.333859,33.7307547
85,-84.331805,33.731007
86,-84.330984,33.730921
87,-84.330545,33.730776
88,-84.32995,33.72992
89,-84.328738,33.729361
90,-84.327174,33.728728
91,-84.322582,33.725951
92,-84.322208,33.725717
93,-84.316462,33.762557
94,-84.3155608,33.7628596
95,-84.342619,33.767283
96,-84.3417028,33.7672444
97,-84.3331411,33.753388
98,-84.3331081,33.7554095
99,-84.3480704,33.7357919
100,-84.3475162,33.735785
101,-84.345846,33.735774
102,-84.321863,33.749376
103,-84.321835,33.748657
104,-84.3400986,33.7578095
105,-84.3400834,33.7605883
106,-84.3481657,33.7483693
107,-84.3464563,33.7486854
108,-84.3454261,33.7487943
109,-84.3445893,33.748931
110,-84.3422356,33.7493201
111,-84.3481544,33.748504
112,-84.3474929,33.7486826
113,-84.3464581,33.748815
114,-84.312422,33.761105
115,-84.343548,33.794614
116,-84.342967,33.795286
117,-84.3428602,33.7956118
118,-84.324751,33.756407
119,-84.3247304,33.7597782
120,-84.346424,33.751015
121,-84.3464644,33.749588
122,-84.346464,33.747573
123,-84.3052,33.7510417
124,-84.3052149,33.7515509
125,-84.305215,33.752388
126,-84.3346365,33.7533937
127,-84.3341216,33.7550794
128,-84.3315755,33.7559413
129,-84.3314891,33.7559193
130,-84.348957,33.774449
131,-84.347981,33.776301
132,-84.3473631,33.7770657
133,-84.346769,33.777714
134,-84.3456065,33.7787536
135,-84.3451785,33.7791932
136,-84.344349,33.747559
137,-84.3443625,33.745937
138,-84.3443372,33.7451442
139,-84.344343,33.744453
140,-84.344365,33.743608
141,-84.3443512,33.742674
142,-84.3443651,33.7409257
143,-84.3443615,33.7401376
144,-84.3480214,33.7401609
145,-84.3468866,33.740154
146,-84.3458041,33.740149
147,-84.345374,33.7401395
148,-84.3428856,33.7401305
149,-84.3413455,33.7400985
150,-84.3399765,33.7400666
151,-84.33937,33.74006
152,-84.3383472,33.7400625
153,-84.3374837,33.7400501
154,-84.3371622,33.7400467
155,-84.336082,33.740039
