node_id,lat,lon
0,60.2198813,24.9297075
1,60.1798007,25.0470127
2,60.1786942,25.0481244
3,60.196996,24.8842649
4,60.1834988,25.051796
5,60.1828806,25.0512717
6,60.1829604,25.0522586
7,60.1834817,25.0536345
8,60.1827478,25.0539561
9,60.1837789,25.0544433
10,60.1760978,25.0438729
11,60.1758499,25.0461487
12,60.1768912,25.0461619
13,60.1767885,25.0473312
14,60.1770851,25.0475046
15,60.1758951,25.0484816
16,60.1743956,25.0565478
17,60.1747001,25.0563097
18,60.1766354,25.0521916
19,60.1774253,25.0542538
20,60.1774584,25.055323
21,60.2660085,24.8982284
22,60.1775375,25.0524287
23,60.1767141,25.0528177
24,60.1784002,25.0537392
25,60.1806534,25.0515386
26,60.1804896,25.0516559
27,60.1875701,25.0392541
28,60.1614468,24.9354904
29,60.1795302,25.053171
30,60.1790702,25.057138
31,60.1788509,25.0575186
32,60.1775396,25.0533629
33,60.181579,25.015125
34,60.2790099,25.0219491
35,60.1818751,25.0552576
36,60.1817236,25.0540261
37,60.1817161,25.0559672
38,60.1814526,25.0544201
39,60.1815458,25.0551604
40,60.1806572,25.0538745
41,60.1806658,25.0547716
42,60.1809511,25.0543751
43,60.1804277,25.0566939
44,60.1805489,25.0555954
45,60.1809135,25.0563214
46,60.1844126,25.0440035
47,60.1842578,25.0449255
48,60.185104,25.04459
49,60.1849718,25.0441586
50,60.1835645,25.0457337
51,60.1837286,25.0468837
52,60.1786642,25.0392517
53,60.1810981,25.0470812
54,60.1769698,25.0512581
55,60.1764801,25.0515201
56,60.1762134,25.0506496
57,60.1760794,25.0512289
58,60.1758078,25.0514851
59,60.1757216,25.0511538
60,60.1758273,25.0506445
61,60.176765,25.0511091
62,60.1768213,25.0507717
63,60.1765314,25.0509702
64,60.1763217,25.0510286
65,60.1758696,25.0527445
66,60.18112,25.0632476
67,60.1788388,25.0600597
68,60.179654,25.0600063
69,60.1791601,25.0600351
70,60.1833313,25.0595078
71,60.1798361,25.054186
72,60.180202,25.0541526
73,60.1810828,25.0512721
74,60.1873485,25.0572521
75,60.1857916,25.0489368
76,60.1846624,25.0486862
77,60.1851108,25.0487007
78,60.1859235,25.0481007
79,60.1860169,25.0476582
80,60.1858647,25.0478656
81,60.1855515,25.046566
82,60.1854944,25.0467901
83,60.1853672,25.0474484
84,60.1856339,25.0477709
85,60.185478,25.0479152
86,60.1849206,25.0482289
87,60.1858043,25.0476311
88,60.1857353,25.0471179
89,60.1861286,25.0484674
90,60.186004,25.0514685
91,60.1858587,25.049535
92,60.1858475,25.0509106
93,60.1846114,25.0491146
94,60.184478,25.0490312
95,60.1853819,25.049032
96,60.1862889,25.0519594
97,60.1862902,25.0513218
98,60.1860843,25.0508155
99,60.1863344,25.0507122
100,60.1864872,25.0501784
101,60.1861596,25.0493904
102,60.1860489,25.0498933
103,60.1853074,25.0541239
104,60.1845143,25.0534472
105,60.1843883,25.0541387
106,60.1854903,25.0529803
107,60.1855665,25.0522784
108,60.1853371,25.0525907
109,60.185334,25.051748
110,60.1846363,25.0545284
111,60.1845688,25.0525351
112,60.1848422,25.0514096
113,60.1841642,25.051384
114,60.1844834,25.0516079
115,60.1845096,25.0511864
116,60.1844464,25.0521663
117,60.1841922,25.052159
118,60.1847674,25.0518415
119,60.1846295,25.050551
120,60.1845802,25.0498819
121,60.1843288,25.049506
122,60.1842254,25.0505011
123,60.1842767,25.0499022
124,60.1855154,25.0499086
125,60.1853758,25.0504699
126,60.1852638,25.0499112
127,60.1850465,25.0498769
128,60.1849908,25.0507122
129,60.1687057,25.0586358
130,60.1742151,25.0597724
131,60.1753438,25.0599946
132,60.1731692,25.0580084
133,60.1740834,25.061528
134,60.1739999,25.0608957
135,60.1750045,25.0600869
136,60.1772025,25.0632971
137,60.1772316,25.0631544
138,60.1703932,25.056743
139,60.1707864,25.0567389
140,60.1704606,25.0561892
141,60.1702513,25.0562185
142,60.169911,25.0562734
143,60.1944459,24.9602946
144,60.1749441,25.0517127
145,60.1749763,25.0523071
146,60.1749077,25.0529262
147,60.1748863,25.0534434
148,60.1745535,25.0544164
149,60.1746924,25.0511603
150,60.1743415,25.0511979
151,60.1746373,25.0516846
152,60.1746482,25.0521953
153,60.1747584,25.0540243
154,60.1745983,25.0532743
155,60.1745364,25.0536653
156,60.1752075,25.0530105
157,60.1740299,25.055105
158,60.1741902,25.0544101
159,60.1742004,25.051648
160,60.1743256,25.053987
161,60.1737087,25.0538831
162,60.1738912,25.053641
163,60.1741054,25.0534505
164,60.174303,25.052988
165,60.1741326,25.0527617
166,60.1743642,25.0516718
167,60.1735144,25.0554153
168,60.1734412,25.0548067
169,60.1739022,25.0544119
170,60.1737651,25.0552778
171,60.1736813,25.0545788
172,60.1742932,25.0548146
173,60.1746556,25.052801
174,60.174767,25.0499298
175,60.1745327,25.0501686
176,60.1750409,25.0499709
177,60.1751236,25.0502733
178,60.1721493,25.0549138
179,60.1718606,25.0547829
180,60.1718247,25.0554001
